SDN,CRUISE,STATION,LON,LAT,date,lon_W
739199.412094564,1902685,24,-156.980042,19.9476621666667,2023-53-09,-156.980042
739204.906481434,1902685,25,-157.0274215,20.139154,2023-45-14,-157.0274215
739213.909282321,1902685,26,-157.516522166667,20.3027953333333,2023-49-23,-157.516522166667
739222.907881859,1902685,27,-157.676304166667,20.2368953333333,2023-47-02,-157.676304166667
739231.906504543,1902685,28,-157.634897833333,20.1814466666667,2023-45-11,-157.634897833333
739240.909282323,1902685,29,-157.571904,19.8248336666667,2023-49-20,-157.571904
739249.90371522,1902685,30,-157.462163333333,19.2952031666667,2023-41-29,-157.462163333333
739258.906504516,1902685,31,-157.028602,19.262337,2024-45-07,-157.028602
739267.907858768,1902685,32,-156.839199,19.644533,2024-47-16,-156.839199
739276.909282322,1902685,33,-156.8985165,20.0065451666667,2024-49-25,-156.8985165
739285.905104109,1902685,34,-157.0551325,20.2349116666667,2024-43-03,-157.0551325
739294.905104111,1902685,35,-156.935241666667,20.2225591666667,2024-43-12,-156.935241666667
739303.907881887,1902685,36,-156.998796666667,20.0743766666667,2024-47-21,-156.998796666667
739312.909270775,1902685,37,-157.035914666667,19.7356875,2024-49-01,-157.035914666667
739321.906469879,1902685,38,-156.852898166667,19.402616,2024-45-10,-156.852898166667
739330.906516091,1902685,39,-156.645735,19.5469383333333,2024-45-19,-156.645735
739339.909270747,1902685,40,-156.497918666667,19.8766031666667,2024-49-28,-156.497918666667
739344.913425822,1902685,41,-156.430536166667,20.0587823333333,2024-55-02,-156.430536166667
739349.906481378,1902685,42,-156.379032666667,20.251609,2024-45-07,-156.379032666667
739354.905080967,1902685,43,-156.3249365,20.3233435,2024-43-12,-156.3249365
739359.906481379,1902685,44,-156.277693,20.363597,2024-45-17,-156.277693
739364.910636522,1902685,45,-156.390742833333,20.399579,2024-51-22,-156.390742833333
739369.909259157,1902685,46,-156.6588495,20.3096005,2024-49-27,-156.6588495
739374.910659616,1902685,47,-156.890463333333,20.1735411666667,2024-51-02,-156.890463333333
739379.909236111,1902685,48,-156.990794,19.9826856666667,2024-49-07,-156.990794
739384.903726701,1902685,49,-157.079957666667,19.7267743333333,2024-41-12,-157.079957666667
739389.907858796,1902685,50,-157.0543905,19.5081068333333,2024-47-17,-157.0543905
